artist,title,Unnamed: 0,ranking,last_week_rank,peak_position,weeks_on_chart,chart_date
$uicideBoy$,I Want To Die In New Orleans,2018-09-22_7,7,0,7,1,2018-09-22
$uicideBoy$,Radical $Uicide (EP),2016-08-13_17,17,0,17,1,2016-08-13
100 Proof Aged in Soul,100 Proof Aged In Soul,1973-03-24_40,40,41,40,4,1973-03-24
100 Proof Aged in Soul,Somebody's Been Sleeping In My Bed,1971-01-02_31,31,41,31,4,1971-01-02
11/5,A-1 Yola,1996-08-10_33,33,48,33,2,1996-08-10
112,112,1996-09-14_5,5,0,5,1,1996-09-14
112,Hot & Wet,2003-12-06_4,4,0,4,1,2003-12-06
112,Part III,2001-04-07_1,1,0,1,1,2001-04-07
112,Pleasure & Pain,2005-04-16_2,2,0,2,1,2005-04-16
112,Room 112,1998-11-28_6,6,0,6,1,1998-11-28
11th Hour,Hollywood Hot,1976-05-01_40,40,50,40,2,1976-05-01
2 Chainz,B.O.A.T.S. II #METIME,2013-09-28_2,2,0,2,1,2013-09-28
2 Chainz,Based On A T.R.U. Story,2012-09-01_1,1,0,1,1,2012-09-01
2 Chainz,ColleGrove,2016-03-26_2,2,0,2,1,2016-03-26
2 Chainz,Pretty Girls Like Trap Music,2017-07-08_1,1,0,1,1,2017-07-08
2 Chainz,The Play Don't Care Who Makes It (EP),2018-02-24_27,27,0,27,1,2018-02-24
2 Krayze,2 Krayze,2008-10-25_26,26,50,26,3,2008-10-25
2 Low,Funky Lil Brotha,1994-02-12_25,25,96,25,2,1994-02-12
2 Pistols,Death Before Dishonor,2008-07-05_10,10,0,10,1,2008-07-05
21 Savage,Issa Album,2017-07-29_2,2,0,2,1,2017-07-29
21 Savage & Metro Boomin,Savage Mode,2016-08-06_9,9,0,9,1,2016-08-06
"21 Savage, Offset & Metro Boomin",Without Warning,2017-11-18_2,2,0,2,1,2017-11-18
213,The Hard Way,2004-09-04_1,1,0,1,1,2004-09-04
2Pac,2Pacalypse Now,1992-02-29_35,35,41,35,5,1992-02-29
2Pac,All Eyez On Me,1996-03-02_1,1,68,1,2,1996-03-02
2Pac,Better Dayz,2002-12-14_1,1,0,1,1,2002-12-14
2Pac,Live,2004-08-21_39,39,0,39,1,2004-08-21
2Pac,Loyal To The Game,2005-01-01_1,1,0,1,1,2005-01-01
2Pac,Me Against The World,1995-04-01_1,1,0,1,1,1995-04-01
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),2007-09-01_8,8,0,8,1,2007-09-01
2Pac,Nu-Mixx Klazzics,2003-10-25_5,5,0,5,1,2003-10-25
2Pac,Pac's Life,2006-12-09_3,3,0,3,1,2006-12-09
2Pac,R U Still Down? [Remember Me],1997-12-13_1,1,49,1,2,1997-12-13
2Pac,Strictly 4 My N.I.G.G.A.Z.....,1993-03-06_4,4,0,4,1,1993-03-06
2Pac,Until The End Of Time,2001-04-14_1,1,0,1,1,2001-04-14
2Pac + Outlawz,Still I Rise,2000-01-08_2,2,0,2,1,2000-01-08
2nd II None,2nd II None,1991-12-07_36,36,44,36,5,1991-12-07
2nd II None,Classic 220,1999-10-30_40,40,0,40,1,1999-10-30
3-2,The Wicked Buddah Baby,1996-10-05_28,28,0,28,1,1996-10-05
337 Mafia,L.A.D.'s Ambition,2016-02-13_23,23,0,23,1,2016-02-13
3LW,3LW,2000-12-23_23,23,0,23,1,2000-12-23
3LW,A Girl Can Mack,2002-11-09_12,12,0,12,1,2002-11-09
3X Krazy,Stackin Chips,1997-04-26_28,28,0,28,1,1997-04-26
3rd Bass,Derelicts Of Dialect,1991-07-13_40,40,0,40,1,1991-07-13
3rd Bass,The Cactus Album,1989-12-16_35,35,55,35,2,1989-12-16
3rd Storee,Get With Me,2002-10-19_13,13,0,13,1,2002-10-19
4 By Four,4 By Four,1987-07-04_33,33,55,33,2,1987-07-04
40 Cal.,Broken Safety 2,2007-09-29_27,27,0,27,1,2007-09-29
5 Special,Five Special,1979-08-11_39,39,49,39,2,1979-08-11
50 Cent,Animal Ambition: An Untamed Desire To Win,2014-06-21_1,1,0,1,1,2014-06-21
50 Cent,Before I Self-Destruct,2009-12-05_1,1,48,1,2,2009-12-05
50 Cent,Curtis,2007-09-29_2,2,77,2,2,2007-09-29
50 Cent,Get Rich Or Die Tryin',2003-02-22_1,1,0,1,1,2003-02-22
50 Cent,Guess Who's Back?,2003-01-25_36,36,48,36,28,2003-01-25
50 Cent,The Massacre,2005-03-19_1,1,0,1,1,2005-03-19
50 Cent,The New Breed,2003-05-03_1,1,0,1,1,2003-05-03
504 Boyz,Ballers,2002-12-28_13,13,0,13,1,2002-12-28
504 Boyz,Goodfellas,2000-05-20_1,1,0,1,1,2000-05-20
52nd Street,Children Of The Night,1986-07-05_31,31,45,31,3,1986-07-05
54th Platoon,All Or N.O.thin,2003-05-24_21,21,0,21,1,2003-05-24
5th Ward Boyz,Gangsta Funk,1994-03-12_15,15,0,15,1,1994-03-12
5th Ward Boyz,Ghetto Dope,1993-05-29_37,37,42,37,2,1993-05-29
5th Ward Boyz,P.W.A. The Album... Keep It Poppin',1999-09-18_26,26,0,26,1,1999-09-18
5th Ward Boyz,Rated G,1995-12-02_35,35,0,35,1,1995-12-02
5th Ward Boyz,Usual Suspects,1997-12-06_26,26,0,26,1,1997-12-06
69 Boyz,Nineteen Ninety Quad,1994-06-18_34,34,0,34,1,1994-06-18
69 Boyz,The Wait Is Over,1998-08-01_39,39,0,39,1,1998-08-01
6LACK,East Atlanta Love Letter,2018-09-29_2,2,0,2,1,2018-09-29
6LACK,FREE 6LACK,2016-12-10_11,11,0,11,1,2016-12-10
6ix9ine,DAY69,2018-03-10_3,3,0,3,1,2018-03-10
6ix9ine,DUMMY BOY,2018-12-08_2,2,0,2,1,2018-12-08
7 Days Of Funk,7 Days Of Funk,2013-12-28_27,27,0,27,1,2013-12-28
702,702,1999-07-03_7,7,0,7,1,1999-07-03
702,No Doubt,1996-10-26_37,37,0,37,1,1996-10-26
702,Star,2003-04-12_22,22,0,22,1,2003-04-12
7L And Esoteric/Inspectah Deck,CZARFACE,2013-03-09_34,34,0,34,1,2013-03-09
7deucedeuce,Heat 1,2016-08-13_27,27,0,27,1,2016-08-13
88rising,Head In The Clouds,2018-08-04_40,40,0,40,1,2018-08-04
8Ball,Almost Famous,2001-12-08_6,6,0,6,1,2001-12-08
8Ball,Doin' It Big,2008-04-19_30,30,0,30,1,2008-04-19
8Ball,Lay It Down,2002-08-31_30,30,0,30,1,2002-08-31
8Ball,Life's Quest,2012-08-11_14,14,0,14,1,2012-08-11
8Ball,Lost,1998-06-06_3,3,0,3,1,1998-06-06
8Ball & MJG,Comin' Out Hard,1994-03-05_40,40,41,40,27,1994-03-05
8Ball & MJG,In Our Lifetime,1999-06-05_1,1,0,1,1,1999-06-05
8Ball & MJG,Living Legends,2004-05-29_1,1,0,1,1,2004-05-29
8Ball & MJG,Living Legends: Chopped And Screwed,2004-07-03_36,36,0,36,1,2004-07-03
8Ball & MJG,On The Outside Looking In,1994-06-18_11,11,0,11,1,1994-06-18
8Ball & MJG,On Top Of The World,1995-11-18_2,2,0,2,1,1995-11-18
8Ball & MJG,Ridin High,2007-03-31_4,4,0,4,1,2007-03-31
8Ball & MJG,Space Age 4 Eva,2000-12-09_9,9,0,9,1,2000-12-09
8Ball & MJG,Ten Toes Down,2010-05-22_10,10,0,10,1,2010-05-22
8Ball And Devius,The Vet & The Rookie,2007-10-27_31,31,0,31,1,2007-10-27
9.9,9.9,1985-09-07_32,32,51,32,3,1985-09-07
918,Reincarnated,2002-05-04_37,37,50,37,2,2002-05-04
95 South,One Mo' Gen,1995-01-28_32,32,0,32,1,1995-01-28
95 South,Quad City Knock,1993-05-01_35,35,45,35,5,1993-05-01
98 Degrees,98 Degrees And Rising,1999-04-17_40,40,51,40,23,1999-04-17
9th Wonder,The Wonder Years,2011-10-15_12,12,0,12,1,2011-10-15
9th Wonder & Buckshot,The Solution,2012-12-01_28,28,0,28,1,2012-12-01
A Boogie Wit da Hoodie,Artist,2017-02-11_31,31,0,31,3,2017-02-11
A Boogie Wit da Hoodie,International Artist,2018-07-07_32,32,0,32,1,2018-07-07
A Boogie Wit da Hoodie,TBA (EP),2016-11-19_6,6,0,6,1,2016-11-19
A Boogie Wit da Hoodie,The Bigger Artist,2017-10-21_1,1,0,1,1,2017-10-21
A Taste Of Honey,A Taste Of Honey,1978-06-24_36,36,46,36,2,1978-06-24
A Taste Of Honey,Another Taste,1979-08-04_37,37,59,37,2,1979-08-04
A Taste Of Honey,Ladies Of The Eighties,1982-05-08_27,27,42,27,2,1982-05-08
A Taste Of Honey,Twice As Sweet,1980-08-16_38,38,51,38,2,1980-08-16
A Tribe Called Quest,"Beats, Rhymes And Life",1996-08-17_1,1,0,1,1,1996-08-17
A Tribe Called Quest,Low End Theory,1991-10-26_30,30,46,30,2,1991-10-26
A Tribe Called Quest,Midnight Marauders,1993-11-27_1,1,0,1,1,1993-11-27
A Tribe Called Quest,People's Instinctive Travels & The Paths Of Rhythm,1990-06-02_38,38,41,38,6,1990-06-02
A Tribe Called Quest,The Love Movement,1998-10-17_3,3,70,3,2,1998-10-17
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service,2016-12-03_1,1,0,1,1,2016-12-03
A$AP Ferg,Always Strive And Prosper,2016-05-14_2,2,0,2,1,2016-05-14
A$AP Ferg,Still Striving,2017-09-09_7,7,0,7,1,2017-09-09
A$AP Ferg,Trap Lord,2013-09-07_4,4,0,4,1,2013-09-07
A$AP Mob,"Cozy Tapes, Vol. 1: Friends",2016-11-19_4,4,0,4,1,2016-11-19
A$AP Mob,"Cozy Tapes, Vol. 2: Too Cozy",2017-09-16_4,4,0,4,1,2017-09-16
A$AP Rocky,AT.LONG.LAST.A$AP,2015-06-13_1,1,0,1,1,2015-06-13
A$AP Rocky,Long.Live.A$AP,2013-02-02_1,1,0,1,1,2013-02-02
A$AP Rocky,Testing,2018-06-09_3,3,0,3,1,2018-06-09
A+,The Latch-Key Child,1996-09-14_36,36,0,36,1,1996-09-14
A-G-2-A-KE,Mil-Ticket,1998-09-12_37,37,0,37,1,1998-09-12
AB-Soul,Control System,2012-05-26_12,12,0,12,1,2012-05-26
AB-Soul,Do What Thou Wilt.,2016-12-31_9,9,0,9,1,2016-12-31
AB-Soul,These Days...,2014-07-12_2,2,0,2,1,2014-07-12
ABK,Medicine Bag,2010-11-06_18,18,0,18,1,2010-11-06
ABN,It Is What It Is,2008-08-02_10,10,0,10,1,2008-08-02
ADC Band,Long Stroke,1978-12-16_35,35,48,35,2,1978-12-16
AMG,Ballin' Out Of Control,1995-06-24_22,22,0,22,1,1995-06-24
AMG,Bitch Betta Have My Money,1992-01-11_40,40,54,40,5,1992-01-11
AZ,9 Lives,2001-06-30_4,4,0,4,1,2001-06-30
AZ,A*W*O*L,2005-09-24_17,17,0,17,1,2005-09-24
AZ,AZiatic,2002-06-29_5,5,0,5,1,2002-06-29
AZ,Doe Or Die,1995-10-28_1,1,0,1,1,1995-10-28
AZ,Pieces Of A Man,1998-04-25_5,5,84,5,2,1998-04-25
AZ,Undeniable,2008-04-19_24,24,0,24,1,2008-04-19
Aaliyah,Aaliyah,2001-08-04_2,2,0,2,1,2001-08-04
Aaliyah,Age Ain't Nothing But A Number,1994-06-11_4,4,0,4,1,1994-06-11
Aaliyah,I Care 4 U,2002-12-28_1,1,0,1,1,2002-12-28
Aaliyah,One In A Million,1996-09-14_4,4,0,4,1,1996-09-14
Aaron Hall,Inside Of You,1998-11-07_11,11,0,11,1,1998-11-07
Aaron Hall,The Truth,1993-10-16_7,7,0,7,1,1993-10-16
Aaron Neville,Apache,2016-08-06_38,38,0,38,1,2016-08-06
Aaron Neville,Bring It On Home... The Soul Classics,2006-10-07_20,20,0,20,1,2006-10-07
Aaron Neville,My True Story,2013-02-09_7,7,0,7,1,2013-02-09
Above The Law,Black Mafia Life,1993-02-20_6,6,0,6,1,1993-02-20
Above The Law,Legends,1998-03-14_27,27,0,27,1,1998-03-14
Above The Law,Livin' Like Hustlers,1990-04-28_37,37,58,37,2,1990-04-28
Above The Law,Time Will Reveal,1996-11-09_16,16,84,16,2,1996-11-09
Above The Law,Uncle Sam's Curse,1994-07-30_15,15,0,15,1,1994-07-30
Above The Law,Vocally Pimpin',1991-08-24_39,39,50,39,3,1991-08-24
Ace Hood,Blood Sweat + Tears,2011-08-27_3,3,0,3,1,2011-08-27
Ace Hood,Ruthless,2009-07-18_5,5,0,5,1,2009-07-18
Ace Hood,Trials & Tribulations,2013-08-03_2,2,0,2,1,2013-08-03
Ace Spectrum,Inner Spectrum,1974-07-13_40,40,51,40,5,1974-07-13
Ace Spectrum,Low Rent Rendezvous,1975-09-06_37,37,43,37,4,1975-09-06
Action Bronson,Blue Chips 7000,2017-09-16_31,31,0,31,1,2017-09-16
Action Bronson,Mr. Wonderful,2015-04-11_3,3,0,3,1,2015-04-11
Action Bronson,SAAAB STORIES Produced By Harry Fraud (EP),2013-06-29_9,9,0,9,1,2013-06-29
Adam Clayton Powell,"Keep The Faith, Baby!",1967-03-04_18,18,0,18,1,1967-03-04
Adina Howard,Do You Wanna Ride?,1995-03-18_11,11,0,11,1,1995-03-18
Adrian Younge Presents Souls Of Mischief,There Is Only Now,2014-09-13_35,35,0,35,1,2014-09-13
Adriana Evans,Adriana Evans,1997-05-17_33,33,0,33,1,1997-05-17
Aesop Rock,Impossible Kid,2016-05-21_3,3,0,3,1,2016-05-21
Aesop Rock,None Shall Pass,2007-09-15_35,35,0,35,1,2007-09-15
Aesop Rock,Skelethon,2012-07-28_5,5,0,5,1,2012-07-28
Afrique,Soul Makossa,1973-07-07_35,35,42,35,3,1973-07-07
Afro-Blues Quintet Plus One,Introducing The Afro-Blues Quintet Plus One,1966-08-06_23,23,0,23,1,1966-08-06
Afroman,The Good Times,2001-09-15_10,10,0,10,1,2001-09-15
After 7,After 7,1989-10-14_38,38,48,38,5,1989-10-14
After 7,Reflections,1995-08-05_7,7,0,7,1,1995-08-05
After 7,Takin' My Time,1992-09-26_33,33,61,33,3,1992-09-26
After 7,Timeless,2016-11-05_7,7,0,7,1,2016-11-05
Afu-Ra,Life Force Radio,2002-06-15_39,39,42,39,2,2002-06-15
Ahmad Jamal,Jamalca,1974-03-30_39,39,50,39,2,1974-03-30
Akinyele,Put It In Your Mouth (EP),1996-08-31_18,18,0,18,1,1996-08-31
Akon,Freedom,2008-12-20_3,3,0,3,1,2008-12-20
Akon,Konvicted,2006-12-02_2,2,0,2,1,2006-12-02
Akon,Trouble,2004-07-17_11,11,0,11,1,2004-07-17
Al B. Sure!,Honey I'm Home,2009-07-11_16,16,0,16,1,2009-07-11
Al B. Sure!,In Effect Mode,1988-05-21_23,23,0,23,1,1988-05-21
Al B. Sure!,Private Times...And The Whole 9!,1990-11-10_19,19,0,19,1,1990-11-10
Al B. Sure!,Sexy Versus,1992-10-17_21,21,45,21,2,1992-10-17
Al Green,Al Green,1972-08-26_38,38,0,38,1,1972-08-26
Al Green,Al Green Gets Next To You,1971-05-01_31,31,0,31,3,1971-05-01
Al Green,Al Green Is Love,1975-09-27_30,30,0,30,1,1975-09-27
Al Green,Call Me,1973-05-26_27,27,42,27,2,1973-05-26
Al Green,Explores Your Mind,1974-12-14_23,23,43,23,2,1974-12-14
Al Green,Full Of Fire,1976-03-20_34,34,0,34,1,1976-03-20
Al Green,Green Is Blues,1973-01-20_32,32,45,32,2,1973-01-20
Al Green,Have A Good Time,1976-12-04_35,35,45,35,2,1976-12-04
Al Green,I Can't Stop,2003-12-06_9,9,0,9,1,2003-12-06
Al Green,I'm Still In Love With You,1972-10-28_39,39,0,39,1,1972-10-28
Al Green,Lay It Down,2008-06-14_3,3,0,3,1,2008-06-14
Al Green,Let's Stay Together,1972-02-26_11,11,50,11,2,1972-02-26
Al Green,Livin' For You,1974-01-05_32,32,45,32,2,1974-01-05
Al Green,Soul Survivor,1987-05-09_31,31,44,31,5,1987-05-09
Al Green,The Belle Album,1977-12-24_35,35,0,35,1,1977-12-24
Al Jarreau,Heart's Horizon,1989-01-07_27,27,46,27,5,1989-01-07
Al Jarreau,Heaven And Earth,1992-08-01_38,38,42,38,4,1992-08-01
Al Jarreau,High Crime,1984-11-24_39,39,0,39,1,1984-11-24
Al Jarreau,L Is For Lover,1986-10-18_35,35,0,35,1,1986-10-18
Al Jarreau,Look To The Rainbow: Live Recorded In Europe,1977-07-02_40,40,48,40,2,1977-07-02
Al Jarreau,Tenderness,1994-06-11_25,25,0,25,1,1994-06-11
Al Jarreau,This Time,1980-06-28_32,32,51,32,2,1980-06-28
Al Wilson,La La Peace Song,1974-11-16_39,39,43,39,4,1974-11-16
Al Wilson,Show And Tell,1974-01-12_30,30,43,30,3,1974-01-12
Albert King,I Wanna Get Funky,1974-07-27_40,40,41,40,10,1974-07-27
Albert King,I'll Play The Blues For You,1972-08-26_23,23,0,23,1,1972-08-26
Albert King,Jammed Together,1969-07-19_24,24,0,24,1,1969-07-19
Albert King,Live Wire/Blues Power,1968-11-30_40,40,41,40,3,1968-11-30
Albert King,Lovejoy,1971-07-10_37,37,49,37,2,1971-07-10
Albert King,Truckload Of Lovin',1976-03-20_35,35,43,35,2,1976-03-20
Alex Bugnon,Head Over Heels,1990-06-16_36,36,53,36,3,1990-06-16
Alex Bugnon,Love Seasons,1989-05-13_36,36,44,36,9,1989-05-13
Alex Bugnon,This Time Around,1993-06-19_39,39,0,39,1,1993-06-19
Alexander O'Neal,Alexander O'Neal,1985-04-27_38,38,42,38,3,1985-04-27
Alexander O'Neal,All True Man,1991-03-02_38,38,51,38,2,1991-03-02
Alexander O'Neal,Hearsay,1987-08-22_30,30,0,30,1,1987-08-22
Alexander O'Neal,Love Makes No Sense,1993-02-27_18,18,0,18,1,1993-02-27
Algebra Blessett,Recovery,2014-02-15_23,23,0,23,1,2014-02-15
Ali,Heavy Starch,2002-05-18_7,7,0,7,1,2002-05-18
Ali & Gipp,Ali & Gipp Present: Kinfolk,2007-09-01_25,25,0,25,1,2007-09-01
Alice Smith,She,2013-04-06_26,26,0,26,1,2013-04-06
Alicia Bridges,Alicia Bridges,1978-11-25_33,33,43,33,7,1978-11-25
Alicia Keys,As I Am,2007-12-01_1,1,0,1,1,2007-12-01
Alicia Keys,Girl On Fire,2012-12-15_1,1,65,1,2,2012-12-15
Alicia Keys,HERE,2016-11-26_1,1,0,1,1,2016-11-26
Alicia Keys,Songs In A Minor,2001-07-14_1,1,0,1,1,2001-07-14
Alicia Keys,The Diary Of Alicia Keys,2003-12-20_1,1,61,1,2,2003-12-20
Alicia Keys,The Element Of Freedom,2010-01-02_1,1,53,1,2,2010-01-02
Alicia Keys,Unplugged,2005-10-29_1,1,0,1,1,2005-10-29
Alicia Keys,VH1 Storytellers,2013-07-13_19,19,0,19,1,2013-07-13
Alicia Myers,I Appreciate,1984-09-08_38,38,54,38,2,1984-09-08
Alicia Myers,I Fooled You This Time,1982-10-23_37,37,46,37,4,1982-10-23
Alina Baraz,The Color Of You,2018-04-21_30,30,0,30,1,2018-04-21
All Star Tribute,What's Going On (EP),2001-11-17_18,18,0,18,1,2001-11-17
All-4-One,All-4-One,1994-04-30_16,16,0,16,1,1994-04-30
All-4-One,And The Music Speaks,1995-06-24_34,34,0,34,1,1995-06-24
AllFrumTha I,AllFrumTha I,1998-05-23_32,32,0,32,1,1998-05-23
Allen Stone,Allen Stone,2011-11-12_35,35,0,35,3,2011-11-12
Allen Stone,Radius,2015-06-13_10,10,0,10,1,2015-06-13
Allure,Allure,1997-05-24_23,23,0,23,1,1997-05-24
Aloe Blacc,Lift Your Spirit,2014-03-29_2,2,0,2,1,2014-03-29
Alphonse Mouzon,Distant Lover,1982-12-11_38,38,42,38,6,1982-12-11
Alton McClain & Destiny,Alton Mc Clain + Destiny,1979-04-14_37,37,47,37,2,1979-04-14
Alyson Williams,Alyson Williams,1992-05-23_37,37,41,37,5,1992-05-23
Alyson Williams,Raw,1989-05-20_39,39,41,39,8,1989-05-20
Amanda Perez,Angel,2003-04-26_38,38,43,38,8,2003-04-26
Amanda Perez,The Hand Of Fate,2007-11-17_38,38,0,38,1,2007-11-17
Amel Larrieux,Bravebird,2004-02-07_28,28,0,28,1,2004-02-07
Amel Larrieux,Infinite Possibilites,2000-03-04_21,21,0,21,1,2000-03-04
Amel Larrieux,Lovely Standards,2007-06-09_32,32,0,32,1,2007-06-09
Amel Larrieux,Morning,2006-05-13_8,8,0,8,1,2006-05-13
Amerie,All I Have,2002-08-17_2,2,0,2,1,2002-08-17
Amerie,In Love & War,2009-11-21_3,3,0,3,1,2009-11-21
Amerie,Touch,2005-05-14_3,3,0,3,1,2005-05-14
Amii Stewart,Knock On Wood,1979-03-17_37,37,53,37,2,1979-03-17
Amil,A.M.I.L. (All Money Is Legal),2000-10-07_12,12,0,12,1,2000-10-07
Amine,Good For You,2017-08-19_19,19,0,19,1,2017-08-19
Amine,ONEPOINTFIVE,2018-09-01_25,25,0,25,1,2018-09-01
Amy Winehouse,Back To Black,2007-03-31_10,10,0,10,1,2007-03-31
Amy Winehouse,Frank,2007-12-08_26,26,0,26,1,2007-12-08
Amy Winehouse,Lioness: Hidden Treasures,2011-12-24_1,1,0,1,1,2011-12-24
Anderson .Paak,Malibu,2016-02-06_9,9,0,9,1,2016-02-06
Anderson .Paak,Oxnard,2018-12-01_6,6,0,6,1,2018-12-01
Andra Day,Cheers To The Fall,2015-09-19_6,6,0,6,1,2015-09-19
Andra Day,Merry Christmas From Andra Day (EP),2016-12-17_27,27,46,27,2,2016-12-17
Andre Cymone,A.C.,1985-09-21_37,37,0,37,1,1985-09-21
Andre Cymone,Survivin' In The 80's,1983-10-22_33,33,48,33,2,1983-10-22
Andre Nickatina,Khan! The Me Generation,2010-05-08_40,40,0,40,1,2010-05-08
Andy Gibb,Shadow Dancing,1978-07-15_32,32,42,32,2,1978-07-15
Andy Mineo & Wordsplayed,Andy Mineo and Wordsplayed Present Magic & Bird,2017-08-26_28,28,0,28,1,2017-08-26
Angela Bofill,Angel Of The Night,1979-11-10_37,37,0,37,1,1979-11-10
Angela Bofill,Angie,1979-02-24_35,35,55,35,2,1979-02-24
Angela Bofill,Intuition,1989-01-07_38,38,48,38,7,1989-01-07
Angela Bofill,Let Me Be The One,1984-12-08_39,39,41,39,3,1984-12-08
Angela Bofill,Something About You,1981-11-28_36,36,56,36,2,1981-11-28
Angela Bofill,Teaser,1983-12-03_39,39,0,39,1,1983-12-03
Angela Bofill,Too Tough,1983-02-12_24,24,42,24,2,1983-02-12
Angela Winbush,Angela Winbush,1994-04-02_13,13,0,13,1,1994-04-02
Angela Winbush,Sharp,1987-10-31_29,29,48,29,2,1987-10-31
Angela Winbush,The Real Thing,1989-11-11_38,38,72,38,2,1989-11-11
Angie Martinez,Animal House,2002-09-07_6,6,0,6,1,2002-09-07
Angie Martinez,Up Close And Personal,2001-05-05_7,7,0,7,1,2001-05-05
Angie Stone,Black Diamond,1999-10-16_26,26,0,26,1,1999-10-16
Angie Stone,Dream,2015-11-28_3,3,0,3,1,2015-11-28
Angie Stone,Mahogany Soul,2001-11-24_4,4,0,4,1,2001-11-24
Angie Stone,Rich Girl,2012-10-13_15,15,0,15,1,2012-10-13
Angie Stone,Stone Love,2004-07-24_4,4,0,4,1,2004-07-24
Angie Stone,The Art Of Love & War,2007-11-03_1,1,0,1,1,2007-11-03
Angie Stone,Unexpected,2009-12-12_17,17,0,17,1,2009-12-12
Anita Baker,A Night Of Rapture - Live,2004-06-26_35,35,0,35,1,2004-06-26
Anita Baker,Christmas Fantasy,2005-12-17_31,31,44,31,2,2005-12-17
Anita Baker,Compositions,1990-07-28_22,22,0,22,1,1990-07-28
Anita Baker,Giving You The Best That I Got,1988-11-12_4,4,41,4,2,1988-11-12
Anita Baker,My Everything,2004-09-25_1,1,63,1,2,2004-09-25
Anita Baker,Rapture,1986-04-19_28,28,44,28,2,1986-04-19
Anita Baker,Rhythm Of Love,1994-10-01_1,1,0,1,1,1994-10-01
Anita Baker,The Songstress,1983-09-10_39,39,42,39,10,1983-09-10
Anita Ward,Songs Of Love,1979-05-26_38,38,74,38,2,1979-05-26
Ann Nesby,I'm Here For You,1996-09-07_39,39,55,39,13,1996-09-07
Ann Nesby,Put It On Paper,2002-04-06_8,8,0,8,1,2002-04-06
Ann Nesby,This Is Love,2007-10-13_37,37,0,37,1,2007-10-13
Ann Peebles,I Can't Stand The Rain,1974-05-04_38,38,41,38,4,1974-05-04
Ann Peebles,Part Time Love,1971-02-20_40,40,0,40,1,1971-02-20
Another Bad Creation,Coolin' At The Playground Ya' Know!,1991-03-23_30,30,48,30,3,1991-03-23
Ant Banks,Big Thangs,1997-07-26_4,4,0,4,1,1997-07-26
Ant Banks,Do Or Die,1995-11-11_36,36,0,36,1,1995-11-11
Ant Banks,Sittin' On Somethin' Phat,1993-04-17_22,22,0,22,1,1993-04-17
Ant Banks,The Big Badass,1994-07-02_10,10,0,10,1,1994-07-02
Anthony David,Acey Duecy,2008-07-12_31,31,0,31,1,2008-07-12
Anthony David,As Above So Below,2011-04-09_27,27,0,27,1,2011-04-09
Anthony David,Love Out Loud,2012-12-01_36,36,0,36,1,2012-12-01
Anthony Hamilton,Ain't Nobody Worryin',2005-12-31_4,4,0,4,1,2005-12-31
Anthony Hamilton,Back To Love,2011-12-31_3,3,0,3,1,2011-12-31
Anthony Hamilton,Comin' From Where I'm From,2003-10-11_7,7,0,7,1,2003-10-11
Anthony Hamilton,Home For The Holidays,2014-11-08_34,34,0,34,1,2014-11-08
Anthony Hamilton,Soulife,2005-07-16_4,4,0,4,1,2005-07-16
Anthony Hamilton,Southern Comfort,2007-04-21_13,13,0,13,1,2007-04-21
Anthony Hamilton,The Point Of It All,2009-01-03_3,3,0,3,1,2009-01-03
Anthony Hamilton,What I'm Feelin',2016-04-16_2,2,0,2,1,2016-04-16
Apache,Apache Ain't Shit,1993-02-27_15,15,0,15,1,1993-02-27
Apathy,Handshakes With Snakes,2016-07-02_36,36,0,36,1,2016-07-02
Apathy,Honkey Kong,2011-09-10_40,40,0,40,1,2011-09-10
Aphilliates Music Group And Drama Proudly Present Willie The Kid,Absolute Greatness,2008-10-18_40,40,0,40,1,2008-10-18
Apollo Brown,Grandeur,2015-10-17_40,40,0,40,1,2015-10-17
Apollo Brown & Skyzoo,The Easy Truth,2016-10-22_25,25,0,25,1,2016-10-22
Apollonia 6,Apollonia 6,1984-11-10_31,31,42,31,3,1984-11-10
Archie Bell & The Drells,Dance Your Troubles Away,1976-01-03_40,40,50,40,2,1976-01-03
Archie Bell & The Drells,I Can't Stop Dancing,1969-02-08_28,28,0,28,1,1969-02-08
Archie Bell & The Drells,Strategy,1979-10-20_40,40,49,40,3,1979-10-20
Archie Bell & The Drells,Tighten Up,1968-06-08_30,30,42,30,3,1968-06-08
Archie Eversole,Ride Wit Me Dirty South Style,2002-07-06_16,16,0,16,1,2002-07-06
Aretha Franklin,A Rose Is Still A Rose,1998-04-11_7,7,0,7,1,1998-04-11
Aretha Franklin,A Woman Falling Out Of Love,2011-05-21_15,15,0,15,1,2011-05-21
Aretha Franklin,Almighty Fire,1978-05-13_26,26,0,26,1,1978-05-13
Aretha Franklin,Aretha,1980-11-08_32,32,45,32,3,1980-11-08
Aretha Franklin,Aretha (II),1986-11-15_38,38,0,38,1,1986-11-15
Aretha Franklin,Aretha Arrives,1967-08-26_30,30,0,30,1,1967-08-26
Aretha Franklin,Aretha Franklin: Soul '69,1969-02-15_16,16,0,16,1,1969-02-15
Aretha Franklin,Aretha In Paris,1968-11-30_34,34,0,34,1,1968-11-30
Aretha Franklin,Aretha Now,1968-07-13_9,9,0,9,1,1968-07-13
